party,2003_0,2003_1,2003_2,2004_0,2004_1,2004_2,2005_0,2005_1,2005_2,2006_0,2006_1,2006_2,2007_0,2007_1,2007_2,2008_0,2008_1,2008_2,2009_0,2009_1,2009_2,2010_0,2010_1,2010_2,2011_0,2011_1,2011_2,2012_0,2012_1,2012_2,2013_0,2013_1,2013_2,2014_0,2014_1,2014_2,2015_0,2015_1,2015_2,2016_0,2016_1,2016_2,2017_0,2017_1,2017_2,2018_0,2018_1,2018_2,2019_0,2019_1,2019_2,2020_0,2020_1,2020_2,2021_0,2021_1,2021_2,2022_0,2022_1,2022_2,2023_0,2023_1,2023_2
PPS,1.0,2.0,0.0,4.0,7.0,0,3.0,13.0,0,2.0,15.0,0.0,13.0,5.0,0,7.0,10.0,0.0,1.0,11.0,1.0,4.0,13.0,1.0,3.0,12.0,1.0,1.0,15.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,3.0,11.0,0,1.0,12.0,1.0,10.0,3.0,0.0,7.0,7.0,0,4.0,2.0,0.0,5.0,1.0,0,5.0,1.0,0,1.0,6.0,0.0,3.0,2.0,0.0
PCdoB,1.0,0.0,0.0,4.0,1.0,0,10.0,0.0,0,11.0,1.0,0.0,13.0,0.0,0,13.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,12.0,1.0,0.0,11.0,1.0,0,12.0,1.0,0.0,12.0,0.0,0.0,12.0,0.0,0,7.0,0.0,0.0,8.0,0.0,0,7.0,0.0,0,8.0,0.0,0.0,8.0,0.0,0.0
PV,0.0,1.0,0.0,2.0,4.0,0,0.0,8.0,0,1.0,7.0,0.0,1.0,14.0,0,11.0,4.0,0.0,11.0,4.0,0.0,3.0,3.0,3.0,11.0,0.0,0.0,3.0,7.0,0.0,5.0,5.0,0.0,3.0,5.0,1.0,5.0,5.0,0,4.0,4.0,1.0,5.0,3.0,0.0,4.0,6.0,0,5.0,2.0,0.0,3.0,4.0,0,3.0,4.0,0,2.0,4.0,1.0,5.0,1.0,0.0
PSC,0.0,0.0,0.0,2.0,0.0,0,3.0,2.0,0,3.0,0.0,0.0,3.0,4.0,0,7.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,2.0,4.0,2.0,1.0,10.0,1.0,2.0,6.0,0,1.0,7.0,1.0,5.0,6.0,0.0,2.0,7.0,0,1.0,8.0,0.0,1.0,8.0,0,0.0,11.0,0,4.0,9.0,0.0,2.0,6.0,0.0
PSL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0,1.0,33.0,0.0,0.0,34.0,0,1.0,32.0,0,6.0,27.0,0.0,2.0,15.0,0.0
PRB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,4.0,0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,12.0,2.0,0,1.0,2.0,1.0,8.0,8.0,0.0,6.0,10.0,0,1.0,9.0,1.0,3.0,8.0,0,0.0,11.0,0,8.0,5.0,0.0,2.0,3.0,0.0
PPB,2.0,0.0,0.0,4.0,6.0,0,7.0,3.0,0,8.0,3.0,0.0,0.0,9.0,0,4.0,4.0,0.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,5.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,4.0,0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
MDB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,4.0,8.0,2.0,4.0,10.0,0,7.0,7.0,0,2.0,12.0,0.0,23.0,8.0,0.0
REPUBLICANOS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,0.0,1.0,14.0,0,0.0,15.0,0,10.0,3.0,0.0,3.0,25.0,1.0
UNIÃO,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,0.0,3.0,7.0,0,3.0,6.0,0,3.0,8.0,0.0,18.0,15.0,0.0
PROS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0,2.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,0,3.0,1.0,1.0,2.0,6.0,0,0.0,7.0,0,1.0,5.0,0.0,3.0,0.0,0.0
PMN,0.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,0.0,5.0,0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,0.0,0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0,1.0,1.0,0.0,0.0,2.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0
PODE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,3.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,0,2.0,2.0,1.0,5.0,1.0,0,4.0,1.0,0,4.0,3.0,0.0,10.0,2.0,1.0
PSOL,1.0,0.0,0.0,2.0,0.0,0,2.0,2.0,0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0,6.0,0.0,0.0,6.0,0.0,0,6.0,0.0,0,6.0,0.0,0.0,9.0,0.0,0.0
PTN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,6.0,1.0,1.0,2.0,6.0,0.0,2.0,5.0,0,2.0,2.0,1.0,3.0,3.0,0,3.0,2.0,0,2.0,3.0,0.0,2.0,1.0,0.0
PHS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0.0,2.0,0.0,0.0,2.0,0,1.0,1.0,0,0.0,2.0,0.0,0.0,1.0,0.0
PTdoB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0,0.0,2.0,0.0,0.0,2.0,0,0.0,2.0,0,1.0,1.0,0.0,1.0,1.0,0.0
AVANTE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.0,3.0,0.0,3.0,4.0,0,2.0,4.0,0,2.0,4.0,0.0,5.0,2.0,0.0
NOVO,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,8.0,0,8.0,0.0,0,0.0,8.0,0.0,0.0,3.0,0.0
SOLIDARIEDADE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,5.0,1.0,2.0,5.0,0,0.0,7.0,0,3.0,4.0,0.0,1.0,2.0,0.0
PRP,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0,0.0,2.0,0.0,0.0,2.0,0,0.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0
SD,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0,2.0,0.0,0.0,2.0,1.0,0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0
PATRIOTA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,4.0,0,0.0,4.0,0,0.0,3.0,0.0,2.0,2.0,0.0
PST,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
CIDADANIA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,3.0,1.0,0,3.0,0.0,0,1.0,3.0,0.0,1.0,3.0,0.0
REDE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0.0,3.0,0.0,0,3.0,0.0,0,3.0,0.0,0.0,2.0,0.0,0.0
S.PART.,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRTB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
SDD,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
PRONA,1.0,0.0,0.0,0.0,2.0,0,1.0,2.0,0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PTC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PATRI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PMR,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PSDC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
